Country,Year,Value
Portugal,2020,19133
Portugal,2021,16406
Portugal,2022,16941
Romania,2008,10285
Romania,2009,11574
Romania,2010,14197
Romania,2011,16311
Romania,2012,19526
Romania,2013,19573
Romania,2014,51116
Romania,2015,29562
Romania,2016,27332
Romania,2017,27177
Romania,2018,30459
Romania,2019,29144
Romania,2020,25741
Romania,2021,26016
Romania,2022,25449
Scotland (NUTS 2021),2008,25496
Scotland (NUTS 2021),2009,23774
Scotland (NUTS 2021),2010,25017
Scotland (NUTS 2021),2011,24222
Scotland (NUTS 2021),2012,21515
Scotland (NUTS 2021),2013,22272
Scotland (NUTS 2021),2014,20607
Scotland (NUTS 2021),2015,17637
Scotland (NUTS 2021),2016,16299
Scotland (NUTS 2021),2017,15130
Scotland (NUTS 2021),2018,13777
Scotland (NUTS 2021),2019,:
Scotland (NUTS 2021),2020,:
Scotland (NUTS 2021),2021,:
Scotland (NUTS 2021),2022,:
Serbia,2008,14040
Serbia,2009,14201
Serbia,2010,15177
Serbia,2011,17430
Serbia,2012,17606
Serbia,2013,31694
Serbia,2014,26788
Serbia,2015,22501
Serbia,2016,19682
Serbia,2017,16844
Serbia,2018,14453
Serbia,2019,11911
Serbia,2020,9499
Serbia,2021,9825
Serbia,2022,9491
Slovakia,2008,15159
Slovakia,2009,15394
Slovakia,2010,14783
Slovakia,2011,12884
Slovakia,2012,11855
Slovakia,2013,11167
Slovakia,2014,9427
Slovakia,2015,6862
Slovakia,2016,6260
Slovakia,2017,5720
Slovakia,2018,4528
Slovakia,2019,3695
Slovakia,2020,3725
Slovakia,2021,3247
Slovakia,2022,3521
Slovenia,2008,15310
Slovenia,2009,15510
Slovenia,2010,13430
Slovenia,2011,13696
Slovenia,2012,14106
Slovenia,2013,15370
Slovenia,2014,13603
Slovenia,2015,10251
Slovenia,2016,10707
Slovenia,2017,8752
Slovenia,2018,8397
Slovenia,2019,8337
Slovenia,2020,8281
Slovenia,2021,4744
Slovenia,2022,5605
Spain,2008,174761
Spain,2009,191853
Spain,2010,200388
Spain,2011,195735
Spain,2012,222701
Spain,2013,222069
Spain,2014,207124
Spain,2015,192243
Spain,2016,187741
Spain,2017,173883
Spain,2018,174867
Spain,2019,165235
Spain,2020,133704
Spain,2021,127572
Spain,2022,148712
Sweden,2008,94278
Sweden,2009,95824
Sweden,2010,92722
Sweden,2011,94316
Sweden,2012,88066
Sweden,2013,85453
Sweden,2014,83517
Sweden,2015,90059
Sweden,2016,89055
Sweden,2017,89981
Sweden,2018,77914
Sweden,2019,75450
Sweden,2020,81140
Sweden,2021,73016
Sweden,2022,69327
Switzerland,2008,57018
Switzerland,2009,64268
Switzerland,2010,62243
Switzerland,2011,65172
Switzerland,2012,73714
Switzerland,2013,68730
Switzerland,2014,63706
Switzerland,2015,52569
Switzerland,2016,46539
Switzerland,2017,41351
Switzerland,2018,38871
Switzerland,2019,36419
Switzerland,2020,32819
Switzerland,2021,31186
Switzerland,2022,35732
Türkiye,2008,:
Türkiye,2009,85050
Türkiye,2010,94289
Türkiye,2011,100644
Türkiye,2012,119533
Türkiye,2013,:
Türkiye,2014,:
Türkiye,2015,:
Türkiye,2016,:
Türkiye,2017,:
Türkiye,2018,120400
Türkiye,2019,103663
Türkiye,2020,95767
Türkiye,2021,95471
Türkiye,2022,107549
