country,year,crime_index,weighted_infractions
Italie,2009,0.12869379857455826,7605207.0
Italie,2010,0.11422844217385518,6771167.0
Italie,2011,0.1257163231676333,7464966.0
Italie,2012,0.13087385013939518,7792192.0
Italie,2013,0.14565983621063658,8773667.0
Italie,2014,0.1350864809076095,8211791.0
Italie,2015,0.12585915939353257,7643500.0
Italie,2016,0.12466668177532247,7558229.0
Italie,2017,0.11785146761116466,7134340.0
Italie,2018,0.11446794995710155,6916355.0
Italie,2019,0.10666459107247941,6370978.0
Italie,2020,0.08102362207506333,4815951.0
Italie,2021,0.09281776575730175,5488609.0
Italie,2022,0.10485613227254469,6180265.0
Lettonie,2008,0.07992478834090685,174022.0
Lettonie,2009,0.08665297952204566,185582.0
Lettonie,2010,0.07248772976155572,152047.0
Lettonie,2011,0.013402378685532762,27605.0
Lettonie,2012,0.06502864103417409,132289.0
Lettonie,2013,0.061625312337434235,124030.0
Lettonie,2014,0.06431094272091933,128222.0
Lettonie,2015,0.06347169975428907,125517.0
Lettonie,2016,0.07464416339165833,146268.0
Lettonie,2017,0.06899942746755307,134014.0
Lettonie,2018,0.06664058356951681,128428.0
Lettonie,2019,0.0626589097627679,119918.0
Lettonie,2020,0.06006527931031035,114151.0
Lettonie,2021,0.04528705379174206,85343.0
Lettonie,2022,0.0470361815553296,88399.0
Liechtenstein,2008,0.10974266263664868,3885.0
Liechtenstein,2009,0.16134548002803084,5756.0
Liechtenstein,2010,0.1382842509603073,4968.0
Liechtenstein,2011,0.13738981458454227,4972.0
Liechtenstein,2012,0.10724558279687714,3915.0
Liechtenstein,2013,0.15761017225452373,5801.0
Liechtenstein,2014,0.16247034720724607,6027.0
Liechtenstein,2015,0.12681033328871638,4737.0
Liechtenstein,2016,0.16363104576032333,6154.0
Liechtenstein,2017,0.14310221964158462,5422.0
Liechtenstein,2018,0.1822372384170137,6958.0
Liechtenstein,2019,0.19195987734525233,7387.0
Liechtenstein,2020,0.22288161833006503,8638.0
Liechtenstein,2021,0.14336945106175875,5597.0
Liechtenstein,2022,0.15851704935540467,6234.0
Lituanie,2008,0.06581231937280328,210483.0
Lituanie,2009,0.06632107839727644,209768.0
Lituanie,2010,0.06071161747622593,188041.0
Lituanie,2011,0.06060040652353031,183505.0
Lituanie,2012,0.05488067533912382,163971.0
Lituanie,2013,0.06367978512953863,188345.0
Lituanie,2014,0.0642781070718638,188487.0
Lituanie,2015,0.05580792520250197,162117.0
Lituanie,2016,0.054957219275574384,157630.0
Lituanie,2017,0.05137704916873585,145315.0
Lituanie,2018,0.04356884759577133,122060.0
Lituanie,2019,0.03840971290956743,107322.0
Lituanie,2020,0.03402501355154148,95096.0
Lituanie,2021,0.029797856999277717,83459.0
Lituanie,2022,0.032295077162025246,91448.0
Luxembourg,2008,0.16481530747979126,80537.0
Luxembourg,2009,0.188722796881372,93943.0
Luxembourg,2010,0.15588821843445053,79028.0
Luxembourg,2011,0.1922785315628334,99667.0
Luxembourg,2012,0.1823462272999514,96816.0
Luxembourg,2013,0.2170917991755006,117959.0
Luxembourg,2014,0.24296671514005452,135167.0
Luxembourg,2015,0.18776904656568422,106954.0
Luxembourg,2016,0.1720714621985038,100148.0
Luxembourg,2017,0.13389096080062246,79844.0
Luxembourg,2018,0.14962250185048112,90963.0
Luxembourg,2019,0.16771263272156012,103982.0
Luxembourg,2020,0.17264708075105603,108840.0
Luxembourg,2021,0.17938362413758624,114817.0
Luxembourg,2022,0.21940030898648452,143291.0
Macédoine du Nord,2008,0.0525251674745992,103553.0
Macédoine du Nord,2009,0.05252856111604048,102892.0
Macédoine du Nord,2010,0.05699538302973132,110930.0
Macédoine du Nord,2011,0.06158517764548121,119315.0
Macédoine du Nord,2012,0.0631892802493081,121944.0
Macédoine du Nord,2013,0.06423569575537937,123507.0
Macédoine du Nord,2014,0.05809214537038534,111395.0
Macédoine du Nord,2015,0.002561139492687314,4898.0
Macédoine du Nord,2016,0.002566734843648446,4893.0
Macédoine du Nord,2017,0.002885723961726631,5479.0
Macédoine du Nord,2019,0.00555199646957621,10417.0
Macédoine du Nord,2020,0.004526098471869336,8401.0
Macédoine du Nord,2021,0.0045631354396079935,8383.0
Macédoine du Nord,2022,0.004841372442829441,8868.0
Malte,2008,0.10739437049775391,43965.0
Malte,2009,0.09364158486412576,38625.0
Malte,2010,0.10268318102425043,42563.0
Malte,2011,0.10939586996838575,45538.0
Malte,2012,0.11139495462207281,46789.0
Malte,2013,0.10615141548523711,45217.0
Malte,2014,0.10060107051302702,43717.0
Malte,2015,0.10042399444560536,44694.0
Malte,2016,0.104441360166551,47558.0
Malte,2017,0.10175021741499447,47619.0
Malte,2018,0.0859109010998081,41635.0
Malte,2019,0.08036511381536399,40509.0
Malte,2020,0.05992253537525324,30880.0
Malte,2021,0.07183686378573523,37250.0
Malte,2022,0.06413701039138564,34064.0
Monténégro,2008,0.02700135663218087,16659.0
Monténégro,2009,0.02618818879044597,16192.0
Monténégro,2010,0.022004171590564198,13630.0
Monténégro,2011,0.02212943834575917,13722.0
Monténégro,2012,0.02291005009659991,14218.0
Monténégro,2013,0.021075100570341287,13092.0
Monténégro,2014,0.02039851401553529,12684.0
Monténégro,2015,0.019469299648482142,12113.0
Monténégro,2016,0.01746094748056815,10866.0
Monténégro,2017,0.0182928886696563,11385.0
Monténégro,2018,0.019375565509050556,12056.0
Monténégro,2019,0.017045856456622533,10603.0
Monténégro,2020,0.014543558246661066,9036.0
Monténégro,2021,0.015053027158755254,9321.0
Monténégro,2022,0.01530913963250936,9449.0
Norvège,2008,0.23509567108173882,1120986.0
Norvège,2009,0.2447467510063731,1181815.0
Norvège,2010,0.236301994660942,1155340.0
Norvège,2011,0.22159246918286127,1097567.0
Norvège,2012,0.22568128430133427,1132598.0
Norvège,2013,0.21556954128288655,1095012.0
