Country,Year,Indice de criminalité,Latitude,Longitude
Irlande,2017-01-01T00:00:00,24.610846758473944,53.1763807059,-8.15057983069
Irlande,2016-01-01T00:00:00,23.40231929592523,53.1763807059,-8.15057983069
Irlande,2015-01-01T00:00:00,27.516915576714098,53.1763807059,-8.15057983069
Irlande,2014-01-01T00:00:00,29.76437191784139,53.1763807059,-8.15057983069
Irlande,2013-01-01T00:00:00,29.614649590459873,53.1763807059,-8.15057983069
Irlande,2012-01-01T00:00:00,30.258668696459484,53.1763807059,-8.15057983069
Irlande,2011-01-01T00:00:00,31.13905185340607,53.1763807059,-8.15057983069
Irlande,2010-01-01T00:00:00,31.427125406278584,53.1763807059,-8.15057983069
Irlande,2009-01-01T00:00:00,31.710310428709604,53.1763807059,-8.15057983069
Irlande,2008-01-01T00:00:00,31.475955940379908,53.1763807059,-8.15057983069
Islande,2022-01-01T00:00:00,20.07818903208079,64.9975884418,-18.6054667962
Islande,2021-01-01T00:00:00,23.90758954944639,64.9975884418,-18.6054667962
Islande,2020-01-01T00:00:00,22.395775047956626,64.9975884418,-18.6054667962
Islande,2019-01-01T00:00:00,22.372393981100593,64.9975884418,-18.6054667962
Islande,2018-01-01T00:00:00,23.38723192716609,64.9975884418,-18.6054667962
Islande,2017-01-01T00:00:00,22.90745610597129,64.9975884418,-18.6054667962
Islande,2016-01-01T00:00:00,22.815475871257934,64.9975884418,-18.6054667962
Islande,2015-01-01T00:00:00,23.867967717541024,64.9975884418,-18.6054667962
Islande,2014-01-01T00:00:00,23.295850045175587,64.9975884418,-18.6054667962
Islande,2013-01-01T00:00:00,26.37195050148303,64.9975884418,-18.6054667962
Islande,2012-01-01T00:00:00,23.215159773958767,64.9975884418,-18.6054667962
Islande,2011-01-01T00:00:00,26.65348460217057,64.9975884418,-18.6054667962
Islande,2010-01-01T00:00:00,34.12923716361233,64.9975884418,-18.6054667962
Islande,2009-01-01T00:00:00,39.32446695142005,64.9975884418,-18.6054667962
Islande,2008-01-01T00:00:00,28.372800566195526,64.9975884418,-18.6054667962
Italie,2022-01-01T00:00:00,25.42055051694111,42.7965060418,12.0723678476
Italie,2021-01-01T00:00:00,22.400246323824895,42.7965060418,12.0723678476
Italie,2020-01-01T00:00:00,19.358442243641786,42.7965060418,12.0723678476
Italie,2019-01-01T00:00:00,25.666675194295735,42.7965060418,12.0723678476
Italie,2018-01-01T00:00:00,27.598196028414378,42.7965060418,12.0723678476
Italie,2017-01-01T00:00:00,28.45339560021905,42.7965060418,12.0723678476
Italie,2016-01-01T00:00:00,30.233197072102662,42.7965060418,12.0723678476
Italie,2015-01-01T00:00:00,30.62010254024213,42.7965060418,12.0723678476
Italie,2014-01-01T00:00:00,32.90105715756526,42.7965060418,12.0723678476
Italie,2013-01-01T00:00:00,35.51113754975123,42.7965060418,12.0723678476
Italie,2012-01-01T00:00:00,31.80160659719702,42.7965060418,12.0723678476
Italie,2011-01-01T00:00:00,30.50604036692445,42.7965060418,12.0723678476
Italie,2010-01-01T00:00:00,27.669458011455568,42.7965060418,12.0723678476
Italie,2009-01-01T00:00:00,31.241890062141998,42.7965060418,12.0723678476
Italie,2008-01-01T00:00:00,33.299864908369955,42.7965060418,12.0723678476
Lettonie,2022-01-01T00:00:00,10.573765659642529,56.857534554,24.9294249471
Lettonie,2021-01-01T00:00:00,9.955671843218171,56.857534554,24.9294249471
Lettonie,2020-01-01T00:00:00,13.26996121271896,56.857534554,24.9294249471
Lettonie,2019-01-01T00:00:00,13.641794818186929,56.857534554,24.9294249471
Lettonie,2018-01-01T00:00:00,14.42383967858231,56.857534554,24.9294249471
Lettonie,2017-01-01T00:00:00,14.733532206182149,56.857534554,24.9294249471
Lettonie,2016-01-01T00:00:00,16.370640874506627,56.857534554,24.9294249471
Lettonie,2015-01-01T00:00:00,13.071531612584463,56.857534554,24.9294249471
Lettonie,2014-01-01T00:00:00,13.933830338015344,56.857534554,24.9294249471
Lettonie,2013-01-01T00:00:00,14.08209343812221,56.857534554,24.9294249471
Lettonie,2012-01-01T00:00:00,14.091745974437519,56.857534554,24.9294249471
Lettonie,2011-01-01T00:00:00,1.831955485647017,56.857534554,24.9294249471
Lettonie,2010-01-01T00:00:00,16.451505135098532,56.857534554,24.9294249471
Lettonie,2009-01-01T00:00:00,19.89525416922265,56.857534554,24.9294249471
Lettonie,2008-01-01T00:00:00,18.113174256108532,56.857534554,24.9294249471
Liechtenstein,2022-01-01T00:00:00,21.826553038480746,47.1518476121,9.55426912972
Liechtenstein,2021-01-01T00:00:00,17.453195447313703,47.1518476121,9.55426912972
Liechtenstein,2020-01-01T00:00:00,14.688112853858234,47.1518476121,9.55426912972
Liechtenstein,2019-01-01T00:00:00,17.05701580162219,47.1518476121,9.55426912972
Liechtenstein,2018-01-01T00:00:00,17.45959090185651,47.1518476121,9.55426912972
Liechtenstein,2017-01-01T00:00:00,16.289412614327823,47.1518476121,9.55426912972
Liechtenstein,2016-01-01T00:00:00,23.089147207854353,47.1518476121,9.55426912972
