Country,Crime Type,UN_x,lat_x,lon_x,Year,Value,FIPS,ISO2,ISO3,UN_y,NAME,lat_y,lon_y
Belgique,Vol qualifié,56.0,50.6428512328,4.6639886769,2015.0,175.31266666666667,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,pots-de-vin,56.0,50.6428512328,4.6639886769,2015.0,0.7785714285714286,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Bosnie-Herzégovine,Actes contre les systèmes informatiques,70.0,44.1681150713,17.7865309991,2015.0,,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Actes illicites impliquant des drogues ou des précurseurs contrôlés,70.0,44.1681150713,17.7865309991,2015.0,8.878,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Agression sexuelle,70.0,44.1681150713,17.7865309991,2015.0,,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Attaque grave,70.0,44.1681150713,17.7865309991,2015.0,21.14,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Blanchiment d'argent,70.0,44.1681150713,17.7865309991,2015.0,,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Corruption,70.0,44.1681150713,17.7865309991,2015.0,,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Enlèvement,70.0,44.1681150713,17.7865309991,2015.0,0.096,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Exploitation sexuelle,70.0,44.1681150713,17.7865309991,2015.0,,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Fraude,70.0,44.1681150713,17.7865309991,2015.0,,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Homicide intentionnel,70.0,44.1681150713,17.7865309991,2015.0,1.5379999999999998,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Participation à un groupe criminel organisé,70.0,44.1681150713,17.7865309991,2015.0,,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Pédopornographie,70.0,44.1681150713,17.7865309991,2015.0,,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Tentative d'homicide volontaire,70.0,44.1681150713,17.7865309991,2015.0,1.6625,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Viol,70.0,44.1681150713,17.7865309991,2015.0,0.968,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Violence sexuelle,70.0,44.1681150713,17.7865309991,2015.0,,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Vol,70.0,44.1681150713,17.7865309991,2015.0,206.57600000000002,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Vol d'un véhicule motorisé ou de pièces de celui-ci,70.0,44.1681150713,17.7865309991,2015.0,39.084,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Vol par effraction,70.0,44.1681150713,17.7865309991,2015.0,247.948,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Vol par effraction de résidences privées,70.0,44.1681150713,17.7865309991,2015.0,95.55,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,Vol qualifié,70.0,44.1681150713,17.7865309991,2015.0,23.69666666666667,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bosnie-Herzégovine,pots-de-vin,70.0,44.1681150713,17.7865309991,2015.0,,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bulgarie,Actes contre les systèmes informatiques,100.0,42.7613767152,25.2315070042,2015.0,0.84,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Actes illicites impliquant des drogues ou des précurseurs contrôlés,100.0,42.7613767152,25.2315070042,2015.0,58.164,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Agression sexuelle,100.0,42.7613767152,25.2315070042,2015.0,6.616153846153845,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Attaque grave,100.0,42.7613767152,25.2315070042,2015.0,37.928666666666665,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Blanchiment d'argent,100.0,42.7613767152,25.2315070042,2015.0,0.5671428571428571,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
